trans_x: -13.9911, trans_y: 47.327, rot_z: -0.838449, rot_w: 0.544979
trans_x: -13.9968, trans_y: 47.314, rot_z: -0.83355, rot_w: 0.552445
trans_x: -14.0003, trans_y: 47.3058, rot_z: -0.827217, rot_w: 0.561882
trans_x: -14.0024, trans_y: 47.3004, rot_z: -0.818453, rot_w: 0.574573
trans_x: -14.0037, trans_y: 47.2968, rot_z: -0.806625, rot_w: 0.591064
trans_x: -14.0044, trans_y: 47.2946, rot_z: -0.795941, rot_w: 0.605375
trans_x: -14.0053, trans_y: 47.2914, rot_z: -0.781976, rot_w: 0.623308
trans_x: -14.007, trans_y: 47.2841, rot_z: -0.761854, rot_w: 0.647749
trans_x: -14.009, trans_y: 47.2716, rot_z: -0.736042, rot_w: 0.676936
trans_x: -14.0105, trans_y: 47.2539, rot_z: -0.710257, rot_w: 0.703943
trans_x: -14.0107, trans_y: 47.232, rot_z: -0.684665, rot_w: 0.728857
trans_x: -14.0092, trans_y: 47.2077, rot_z: -0.660032, rot_w: 0.751237
trans_x: -14.0057, trans_y: 47.1811, rot_z: -0.648985, rot_w: 0.760801
trans_x: -14.0021, trans_y: 47.1585, rot_z: -0.650219, rot_w: 0.759747
trans_x: -13.9991, trans_y: 47.1395, rot_z: -0.660642, rot_w: 0.750701
trans_x: -13.9966, trans_y: 47.12, rot_z: -0.678726, rot_w: 0.734391
trans_x: -13.9948, trans_y: 47.0971, rot_z: -0.694658, rot_w: 0.71934
trans_x: -13.9939, trans_y: 47.0712, rot_z: -0.704519, rot_w: 0.709685
trans_x: -13.9937, trans_y: 47.0437, rot_z: -0.707967, rot_w: 0.706245
trans_x: -13.9938, trans_y: 47.0155, rot_z: -0.707967, rot_w: 0.706245
trans_x: -13.9939, trans_y: 46.9875, rot_z: -0.70854, rot_w: 0.70567
trans_x: -13.994, trans_y: 46.9595, rot_z: -0.711399, rot_w: 0.702789
trans_x: -13.9943, trans_y: 46.9313, rot_z: -0.714813, rot_w: 0.699315
trans_x: -13.9949, trans_y: 46.9037, rot_z: -0.717646, rot_w: 0.696408
trans_x: -13.9958, trans_y: 46.876, rot_z: -0.718776, rot_w: 0.695242
trans_x: -13.9967, trans_y: 46.8484, rot_z: -0.718211, rot_w: 0.695825
trans_x: -13.9975, trans_y: 46.8215, rot_z: -0.719903, rot_w: 0.694074
trans_x: -13.9985, trans_y: 46.7939, rot_z: -0.721029, rot_w: 0.692904
trans_x: -13.9996, trans_y: 46.7662, rot_z: -0.723836, rot_w: 0.689972
trans_x: -14.001, trans_y: 46.7389, rot_z: -0.726072, rot_w: 0.687618
trans_x: -14.0024, trans_y: 46.7114, rot_z: -0.726072, rot_w: 0.687618
trans_x: -14.0039, trans_y: 46.6842, rot_z: -0.727188, rot_w: 0.686438
trans_x: -14.0055, trans_y: 46.657, rot_z: -0.727745, rot_w: 0.685848
trans_x: -14.007, trans_y: 46.6312, rot_z: -0.719903, rot_w: 0.694074
trans_x: -14.008, trans_y: 46.6041, rot_z: -0.721029, rot_w: 0.692904
trans_x: -14.009, trans_y: 46.5782, rot_z: -0.734942, rot_w: 0.67813
trans_x: -14.0112, trans_y: 46.5512, rot_z: -0.736591, rot_w: 0.676338
trans_x: -14.0135, trans_y: 46.5241, rot_z: -0.736042, rot_w: 0.676936
trans_x: -14.0158, trans_y: 46.4973, rot_z: -0.737689, rot_w: 0.675141
trans_x: -14.0182, trans_y: 46.4702, rot_z: -0.737689, rot_w: 0.675141
trans_x: -14.0206, trans_y: 46.4429, rot_z: -0.738236, rot_w: 0.674542
trans_x: -14.023, trans_y: 46.4162, rot_z: -0.740423, rot_w: 0.672141
trans_x: -14.0257, trans_y: 46.389, rot_z: -0.740968, rot_w: 0.67154
trans_x: -14.0283, trans_y: 46.362, rot_z: -0.739331, rot_w: 0.673343
trans_x: -14.0308, trans_y: 46.3351, rot_z: -0.736591, rot_w: 0.676338
trans_x: -14.0331, trans_y: 46.3082, rot_z: -0.735492, rot_w: 0.677533
trans_x: -14.0354, trans_y: 46.2813, rot_z: -0.738236, rot_w: 0.674542
trans_x: -14.0378, trans_y: 46.2547, rot_z: -0.739877, rot_w: 0.672742
trans_x: -14.0403, trans_y: 46.2275, rot_z: -0.741513, rot_w: 0.670938
trans_x: -14.0431, trans_y: 46.2005, rot_z: -0.739877, rot_w: 0.672742
trans_x: -14.0456, trans_y: 46.1737, rot_z: -0.738784, rot_w: 0.673943
trans_x: -14.048, trans_y: 46.1474, rot_z: -0.740968, rot_w: 0.67154
trans_x: -14.0506, trans_y: 46.1208, rot_z: -0.745314, rot_w: 0.666714
trans_x: -14.053, trans_y: 46.0998, rot_z: -0.755508, rot_w: 0.65514
trans_x: -14.055, trans_y: 46.0857, rot_z: -0.763953, rot_w: 0.645272
trans_x: -14.057, trans_y: 46.0741, rot_z: -0.777912, rot_w: 0.628374
trans_x: -14.0593, trans_y: 46.0632, rot_z: -0.793971, rot_w: 0.607956
trans_x: -14.0615, trans_y: 46.055, rot_z: -0.809017, rot_w: 0.587785
trans_x: -14.0627, trans_y: 46.0514, rot_z: -0.819385, rot_w: 0.573244
trans_x: -14.0638, trans_y: 46.0484, rot_z: -0.830397, rot_w: 0.557172
trans_x: -14.0677, trans_y: 46.039, rot_z: -0.851472, rot_w: 0.524401
trans_x: -14.0755, trans_y: 46.0234, rot_z: -0.865619, rot_w: 0.500703
trans_x: -14.0867, trans_y: 46.004, rot_z: -0.878332, rot_w: 0.47805
trans_x: -14.1003, trans_y: 45.9829, rot_z: -0.889342, rot_w: 0.457242
trans_x: -14.1162, trans_y: 45.9607, rot_z: -0.895206, rot_w: 0.445653
trans_x: -14.1331, trans_y: 45.9383, rot_z: -0.896648, rot_w: 0.442744
trans_x: -14.1491, trans_y: 45.9174, rot_z: -0.888599, rot_w: 0.458686
trans_x: -14.1622, trans_y: 45.899, rot_z: -0.886354, rot_w: 0.463008
trans_x: -14.1725, trans_y: 45.8841, rot_z: -0.884846, rot_w: 0.465884
trans_x: -14.1836, trans_y: 45.8681, rot_z: -0.879107, rot_w: 0.476624
trans_x: -14.1958, trans_y: 45.8492, rot_z: -0.874423, rot_w: 0.485165
trans_x: -14.209, trans_y: 45.828, rot_z: -0.866431, rot_w: 0.499297
trans_x: -14.2224, trans_y: 45.805, rot_z: -0.858211, rot_w: 0.513297
