////////////////////////////////////////////////////////////// PID-setup Teil kp Versuch 1: kp = 0.1;
error: 0 | diff: 0 | msg.angular.z: 0
error: 0 | diff: 0 | msg.angular.z: 0
error: 0 | diff: 0 | msg.angular.z: 0
error: 0 | diff: 0 | msg.angular.z: 0
error: 0 | diff: 0 | msg.angular.z: 0
error: 0 | diff: 0 | msg.angular.z: 0
Linie verlassen bei: 29026 32748 9391 24989                <-- sensoren vermutlich noch nicht ganz einsatzbereit
Linie verlassen bei: 29026 32748 9391 24989
Linie verlassen bei: 29026 32748 9391 24989
Linie verlassen bei: 29026 32748 9391 24989
Linie verlassen bei: 15038 10641 25261 22006            
error: 0.598 | diff: 14950 | msg.angular.z: 0.0598
error: 0.6386 | diff: 15965 | msg.angular.z: 0.06386
error: 0.6386 | diff: 15965 | msg.angular.z: 0.06386
error: 0.6386 | diff: 15965 | msg.angular.z: 0.06386
error: 0.6386 | diff: 15965 | msg.angular.z: 0.06386
error: 0.6386 | diff: 15965 | msg.angular.z: 0.06386
error: 0.648 | diff: 16200 | msg.angular.z: 0.0648
error: 0.648 | diff: 16200 | msg.angular.z: 0.0648
error: 0.648 | diff: 16200 | msg.angular.z: 0.0648
error: 0.648 | diff: 16200 | msg.angular.z: 0.0648
error: 0.648 | diff: 16200 | msg.angular.z: 0.0648
error: 0.66352 | diff: 16588 | msg.angular.z: 0.066352
error: 0.66352 | diff: 16588 | msg.angular.z: 0.066352
error: 0.66352 | diff: 16588 | msg.angular.z: 0.066352
error: 0.66352 | diff: 16588 | msg.angular.z: 0.066352
error: 0.66352 | diff: 16588 | msg.angular.z: 0.066352
error: 0.67952 | diff: 16988 | msg.angular.z: 0.067952
error: 0.67952 | diff: 16988 | msg.angular.z: 0.067952
error: 0.67952 | diff: 16988 | msg.angular.z: 0.067952
error: 0.67952 | diff: 16988 | msg.angular.z: 0.067952
error: 0.67952 | diff: 16988 | msg.angular.z: 0.067952
error: 0.68776 | diff: 17194 | msg.angular.z: 0.068776
error: 0.68776 | diff: 17194 | msg.angular.z: 0.068776
error: 0.68776 | diff: 17194 | msg.angular.z: 0.068776
error: 0.68776 | diff: 17194 | msg.angular.z: 0.068776
error: 0.68776 | diff: 17194 | msg.angular.z: 0.068776
error: 0.70752 | diff: 17688 | msg.angular.z: 0.070752
error: 0.70752 | diff: 17688 | msg.angular.z: 0.070752
error: 0.70752 | diff: 17688 | msg.angular.z: 0.070752
error: 0.70752 | diff: 17688 | msg.angular.z: 0.070752
error: 0.70752 | diff: 17688 | msg.angular.z: 0.070752
error: 0.71124 | diff: 17781 | msg.angular.z: 0.071124
error: 0.71124 | diff: 17781 | msg.angular.z: 0.071124
error: 0.71124 | diff: 17781 | msg.angular.z: 0.071124
error: 0.71124 | diff: 17781 | msg.angular.z: 0.071124
error: 0.71124 | diff: 17781 | msg.angular.z: 0.071124
error: 0.7214 | diff: 18035 | msg.angular.z: 0.07214
error: 0.7214 | diff: 18035 | msg.angular.z: 0.07214
error: 0.7214 | diff: 18035 | msg.angular.z: 0.07214
error: 0.7214 | diff: 18035 | msg.angular.z: 0.07214
error: 0.7214 | diff: 18035 | msg.angular.z: 0.07214
error: 0.73608 | diff: 18402 | msg.angular.z: 0.073608
error: 0.73608 | diff: 18402 | msg.angular.z: 0.073608
error: 0.73608 | diff: 18402 | msg.angular.z: 0.073608
error: 0.73608 | diff: 18402 | msg.angular.z: 0.073608
error: 0.73608 | diff: 18402 | msg.angular.z: 0.073608
error: 0.72588 | diff: 18147 | msg.angular.z: 0.072588
error: 0.72588 | diff: 18147 | msg.angular.z: 0.072588
error: 0.72588 | diff: 18147 | msg.angular.z: 0.072588
error: 0.72588 | diff: 18147 | msg.angular.z: 0.072588
error: 0.72588 | diff: 18147 | msg.angular.z: 0.072588
error: 0.73096 | diff: 18274 | msg.angular.z: 0.073096
error: 0.73096 | diff: 18274 | msg.angular.z: 0.073096
error: 0.73096 | diff: 18274 | msg.angular.z: 0.073096
error: 0.73096 | diff: 18274 | msg.angular.z: 0.073096
error: 0.73096 | diff: 18274 | msg.angular.z: 0.073096
error: 0.73388 | diff: 18347 | msg.angular.z: 0.073388
error: 0.73388 | diff: 18347 | msg.angular.z: 0.073388
error: 0.73388 | diff: 18347 | msg.angular.z: 0.073388
error: 0.73388 | diff: 18347 | msg.angular.z: 0.073388
error: 0.73388 | diff: 18347 | msg.angular.z: 0.073388
error: 0.72512 | diff: 18128 | msg.angular.z: 0.072512
error: 0.72512 | diff: 18128 | msg.angular.z: 0.072512
error: 0.72512 | diff: 18128 | msg.angular.z: 0.072512
error: 0.72512 | diff: 18128 | msg.angular.z: 0.072512
error: 0.72512 | diff: 18128 | msg.angular.z: 0.072512
error: 0.69152 | diff: 17288 | msg.angular.z: 0.069152
error: 0.69152 | diff: 17288 | msg.angular.z: 0.069152
